time_s,raw,ma_only,ma_spike,spike_flag,dA_raw,dA_ma_only,dA_ma_spike
1.2873,0.027200,0.027200,0.027200,0,0.584220,0.584220,0.584220
1.4234,-0.033800,-0.003300,-0.003300,0,0.545032,0.564672,0.564672
1.5498,-0.038500,-0.015033,-0.015033,0,0.541998,0.557127,0.557127
1.6760,0.036600,-0.002125,-0.002125,0,0.590227,0.565426,0.565426
1.8017,-0.038500,-0.009400,-0.009400,0,0.541998,0.560751,0.560751
1.9274,-0.005600,-0.015960,-0.015960,0,0.563194,0.556531,0.556531
2.0539,-0.033800,-0.015960,-0.015960,0,0.545032,0.556531,0.556531
2.1800,-0.043200,-0.016900,-0.016900,0,0.538960,0.555926,0.555926
2.3067,-0.057200,-0.035660,-0.035660,0,0.529900,0.543832,0.543832
2.4321,-0.013400,-0.030640,-0.030640,0,0.558178,0.547072,0.547072
2.5570,0.038200,-0.021880,-0.021880,0,0.591249,0.552719,0.552719
2.6844,0.008400,-0.013440,-0.013440,0,0.572181,0.558153,0.558153
2.8089,-0.019700,-0.008740,-0.008740,0,0.554123,0.561176,0.561176
2.9353,0.027200,0.008140,0.008140,0,0.584220,0.572014,0.572014
3.0610,-0.033800,0.004060,0.004060,0,0.545032,0.569397,0.569397
3.1874,0.003700,-0.002840,-0.002840,0,0.569166,0.564967,0.564967
3.3148,-0.043200,-0.013160,-0.013160,0,0.538960,0.558333,0.558333
3.4394,0.036600,-0.001900,-0.001900,0,0.590227,0.565571,0.565571
3.5667,-0.047900,-0.016920,-0.016920,0,0.535921,0.555913,0.555913
3.6914,-0.052600,-0.020680,-0.020680,0,0.532879,0.553492,0.553492
3.8175,-0.061900,-0.033800,-0.033800,0,0.526853,0.545032,0.545032
3.9432,-0.052600,-0.035680,-0.035680,0,0.532879,0.543819,0.543819
4.0703,-0.047900,-0.052580,-0.052580,0,0.535921,0.532892,0.532892
4.1969,-0.033800,-0.049760,-0.049760,0,0.545032,0.534717,0.534717
4.3212,-0.061900,-0.051620,-0.051620,0,0.526853,0.533514,0.533514
4.4467,0.014700,-0.036300,-0.036300,0,0.576219,0.543418,0.543418
4.5748,0.027200,-0.020340,-0.020340,0,0.584220,0.553711,0.553711
4.6993,-0.000900,-0.010940,-0.010940,0,0.566213,0.559761,0.559761
4.8281,-0.000900,-0.004360,-0.004360,0,0.566213,0.563991,0.563991
4.9508,-0.015000,0.005020,0.005020,0,0.557149,0.570013,0.570013
5.0777,0.022500,0.006580,0.006580,0,0.581213,0.571014,0.571014
5.2047,0.013100,0.003760,0.003760,0,0.575194,0.569204,0.569204
5.3292,-0.010300,0.001880,0.001880,0,0.560172,0.567998,0.567998
5.4549,0.027200,0.007500,0.007500,0,0.584220,0.571604,0.571604
