time_s,raw,ma_only,ma_spike,spike_flag,dA_raw,dA_ma_only,dA_ma_spike
1.5715,0.1039,0.1039,0.1039,0,0.633015,0.633015,0.633015
1.6961,0.1133,0.1086,0.1086,0,0.638963,0.63599,0.63599
1.8217,0.1273,0.114833,0.114833,0,0.647809,0.639933,0.639933
1.9474,0.1023,0.1117,0.1117,0,0.632002,0.637951,0.637951
2.0747,0.1273,0.11482,0.11482,0,0.647809,0.639924,0.639924
2.1997,0.0945,0.11294,0.11294,0,0.627061,0.638735,0.638735
2.3264,0.126,0.11548,0.11548,0,0.646988,0.640341,0.640341
2.4545,0.1166,0.11334,0.11334,0,0.64105,0.638988,0.638988
2.5789,0.1086,0.1146,0.1146,0,0.63599,0.639785,0.639785
2.7044,0.057,0.10054,0.10054,0,0.603237,0.630888,0.630888
2.8308,0.0898,0.0996,0.0996,0,0.624081,0.630293,0.630293
2.957,0.0976,0.09392,0.09392,0,0.629026,0.626694,0.626694
3.0827,0.1133,0.09326,0.09326,0,0.638963,0.626275,0.626275
3.208,0.0992,0.09138,0.09138,0,0.630039,0.625083,0.625083
3.3355,0.0694,0.09386,0.09386,0,0.611128,0.626655,0.626655
3.4603,0.0804,0.09198,0.09198,0,0.618117,0.625464,0.625464
3.5879,0.0647,0.0854,0.0854,0,0.608138,0.62129,0.62129
3.7124,0.0741,0.07756,0.07756,0,0.614115,0.616313,0.616313
3.8388,0.1133,0.08038,0.08038,0,0.638963,0.618104,0.618104
3.9647,0.0694,0.08038,0.08038,0,0.611128,0.618104,0.618104
4.0907,0.1039,0.08508,0.08508,0,0.633015,0.621087,0.621087
4.216,0.0757,0.08728,0.08728,0,0.615132,0.622483,0.622483
4.3424,0.0664,0.08574,0.08574,0,0.60922,0.621506,0.621506
4.4695,0.1039,0.08386,0.08386,0,0.633015,0.620313,0.620313
4.5957,0.118,0.09358,0.09358,0,0.641934,0.626478,0.626478
4.7204,0.0413,0.08106,0.08106,0,0.593228,0.618536,0.618536
4.8462,0.1163,0.08918,0.08918,0,0.64086,0.623688,0.623688
4.9728,0.0694,0.08978,0.08978,0,0.611128,0.624069,0.624069
5.0987,0.1133,0.09166,0.09166,0,0.638963,0.625261,0.625261
5.2241,0.0757,0.0832,0.0832,0,0.615132,0.619894,0.619894
5.35,0.0664,0.08822,0.08822,0,0.60922,0.623079,0.623079
5.4773,0.0851,0.08198,0.08198,0,0.6211,0.61912,0.61912
5.6026,0.0898,0.08606,0.08606,0,0.624081,0.621709,0.621709
5.7275,0.0992,0.08324,0.08324,0,0.630039,0.61992,0.61992
5.8554,0.0898,0.08606,0.08606,0,0.624081,0.621709,0.621709
5.9816,0.1039,0.09356,0.09356,0,0.633015,0.626465,0.626465
6.1065,0.0851,0.09356,0.09356,0,0.6211,0.626465,0.626465
6.2324,0.0929,0.09418,0.09418,0,0.626047,0.626858,0.626858
6.3584,0.071,0.08854,0.08854,0,0.612145,0.623282,0.623282
6.4844,0.0945,0.08948,0.08948,0,0.627061,0.623878,0.623878
6.61,0.0617,0.08104,0.08104,0,0.606229,0.618523,0.618523
6.7364,0.1213,0.08828,0.08828,0,0.64402,0.623117,0.623117
6.8637,0.2259,0.11488,0.11488,0,0.709749,0.639962,0.639962
6.9904,0.376,0.17588,0.17588,0,0.803157,0.678401,0.678401
7.1177,0.6139,0.27976,0.27976,0,0.950552,0.743362,0.743362
7.2465,0.8358,0.43458,0.43458,0,1.08944,0.83945,0.83945
7.3748,1.0985,0.63002,0.63002,0,1.258758,0.960567,0.960567
7.5032,1.3787,0.86058,0.86058,0,1.449176,1.105135,1.105135
7.6291,1.6414,1.11366,1.11366,0,1.6414,1.268763,1.268763
7.7562,1.8901,1.3689,1.3689,0,1.8901,1.442297,1.442297
7.8829,2.2103,1.6438,2.2103,1,2.2103,1.6438,2.2103
8.0128,2.2279,1.86968,2.2191,0,2.2279,1.86968,2.2191
8.1334,2.3143,2.0568,2.250833,0,2.3143,2.0568,2.250833
8.2601,2.37,2.20252,2.280625,0,2.37,2.20252,2.280625
8.3866,2.4357,2.31164,2.31164,0,2.4357,2.31164,2.31164
8.5126,2.4738,2.36434,2.36434,0,2.4738,2.36434,2.36434
8.6401,2.5407,2.4269,2.4269,0,2.5407,2.4269,2.4269
8.7637,2.6404,2.49212,2.49212,0,2.6404,2.49212,2.49212
8.8899,2.6411,2.54634,2.54634,0,2.6411,2.54634,2.54634
9.0169,2.6345,2.5861,2.5861,0,2.6345,2.5861,2.5861
9.1433,2.638,2.61894,2.61894,0,2.638,2.61894,2.61894
9.2676,2.6345,2.6377,2.6377,0,2.6345,2.6377,2.6377
9.3952,2.6627,2.64216,2.64216,0,2.6627,2.64216,2.64216
9.5203,2.7237,2.65868,2.65868,0,2.7237,2.65868,2.65868
9.6491,2.7108,2.67394,2.67394,0,2.7108,2.67394,2.67394
9.7723,2.692,2.68474,2.68474,0,2.692,2.68474,2.68474
9.9006,2.6685,2.69154,2.69154,0,2.6685,2.69154,2.69154
10.0252,2.6779,2.69458,2.69458,0,2.6779,2.69458,2.69458
10.1504,2.6458,2.679,2.679,0,2.6458,2.679,2.679
10.2761,2.6411,2.66506,2.66506,0,2.6411,2.66506,2.66506
10.4022,2.6404,2.65474,2.65474,0,2.6404,2.65474,2.65474
10.5311,2.6111,2.64326,2.64326,0,2.6111,2.64326,2.64326
10.654,2.5295,2.61358,2.61358,0,2.5295,2.61358,2.61358
10.7803,2.439,2.57222,2.57222,0,2.439,2.57222,2.57222
10.9078,2.4785,2.5397,2.5397,0,2.4785,2.5397,2.5397
11.0329,2.4249,2.4966,2.4966,0,2.4249,2.4966,2.4966
11.1645,2.5426,2.4829,2.4829,0,2.5426,2.4829,2.4829
11.2842,2.3189,2.44078,2.44078,0,2.3189,2.44078,2.44078
11.4104,1.9008,2.33314,1.9008,1,1.9008,2.33314,1.9008
11.5371,1.3646,2.11036,1.3646,1,1.439284,2.11036,1.439284
11.6645,0.8107,1.78752,0.8107,1,1.073588,1.78752,1.073588
11.7915,0.4401,1.36702,0.4401,1,0.842868,1.440979,0.842868
11.9186,0.2071,0.94466,0.3236,0,0.697983,1.158771,0.770635
12.0458,0.1367,0.59184,0.2613,0,0.653741,0.936858,0.731856
12.1702,0.0178,0.32248,0.200425,0,0.578204,0.769939,0.693801
12.2959,0.0413,0.1686,0.1686,0,0.593228,0.673826,0.673826
12.4246,-0.004,0.07978,0.07978,0,0.564222,0.617723,0.617723
12.5516,0.0241,0.04318,0.04318,0,0.582237,0.594427,0.594427
12.6801,0.0274,0.02132,0.02132,0,0.584348,0.580458,0.580458
12.8059,-0.004,0.01696,0.01696,0,0.564222,0.577667,0.577667
12.9325,0.0241,0.01352,0.01352,0,0.582237,0.575463,0.575463
13.0584,-0.0416,0.006,0.006,0,0.539995,0.570642,0.570642
13.1865,-0.0556,-0.00994,-0.00994,0,0.530936,0.560404,0.560404
13.3107,-0.0713,-0.02968,-0.02968,0,0.520753,0.547691,0.547691
13.438,-0.0181,-0.0325,-0.0325,0,0.555153,0.545871,0.545871
13.5627,-0.0526,-0.04784,-0.04784,0,0.532879,0.53596,0.53596
13.6909,-0.0509,-0.0497,-0.0497,0,0.53398,0.534756,0.534756
13.8142,-0.0228,-0.04314,-0.04314,0,0.552126,0.538999,0.538999
13.9446,-0.0901,-0.0469,-0.0469,0,0.508522,0.536568,0.536568
14.0665,-0.0901,-0.0613,-0.0613,0,0.508522,0.527242,0.527242
14.1927,-0.0697,-0.06472,-0.06472,0,0.521792,0.525024,0.525024
14.3183,-0.1605,-0.08664,-0.08664,0,0.5,0.510776,0.510776
14.4448,-0.1511,-0.1123,-0.1123,0,0.5,0.5,0.5
14.5705,-0.1511,-0.1245,-0.1245,0,0.5,0.5,0.5
14.696,-0.1323,-0.13294,-0.13294,0,0.5,0.5,0.5
14.8223,-0.1182,-0.14264,-0.14264,0,0.5,0.5,0.5
14.9483,-0.1323,-0.137,-0.137,0,0.5,0.5,0.5
15.0746,-0.137,-0.13418,-0.13418,0,0.5,0.5,0.5
15.2004,-0.1323,-0.13042,-0.13042,0,0.5,0.5,0.5
15.327,-0.0807,-0.1201,-0.1201,0,0.514642,0.5,0.5
15.4527,-0.1089,-0.11824,-0.11824,0,0.5,0.5,0.5
15.5786,-0.0854,-0.10886,-0.10886,0,0.511583,0.5,0.5
15.7042,-0.0666,-0.09478,-0.09478,0,0.523804,0.505471,0.505471
15.8312,-0.0526,-0.07884,-0.07884,0,0.532879,0.515852,0.515852
15.9565,-0.1042,-0.08354,-0.08354,0,0.5,0.512794,0.512794
16.0818,-0.0948,-0.08072,-0.08072,0,0.505458,0.514629,0.514629
16.2084,-0.1323,-0.0901,-0.0901,0,0.5,0.508522,0.508522
16.3346,-0.1229,-0.10136,-0.10136,0,0.5,0.501177,0.501177
16.4607,-0.076,-0.10604,-0.10604,0,0.517699,0.5,0.5
16.5859,-0.1072,-0.10664,-0.10664,0,0.5,0.5,0.5
16.7122,-0.0979,-0.10726,-0.10726,0,0.503435,0.5,0.5
16.8392,-0.1072,-0.10224,-0.10224,0,0.5,0.500602,0.500602
16.9647,-0.0416,-0.08598,-0.08598,0,0.539995,0.511206,0.511206
17.0907,0.0929,-0.0522,-0.0522,0,0.626047,0.533138,0.533138
17.216,0.4166,0.05256,0.4166,1,0.828315,0.600409,0.828315
17.3441,0.7075,0.21364,0.56205,0,1.008835,0.702078,0.918385
17.4723,1.1361,0.4623,1.1361,1,1.283628,0.856612,1.283628
17.5995,1.6381,0.79824,1.6381,1,1.6381,1.065736,1.6381
17.7244,1.9431,1.16828,1.9431,1,1.9431,1.305065,1.9431
17.8521,2.2185,1.52866,2.0808,0,2.2185,1.52866,2.0808
17.9784,2.3733,1.86182,2.1783,0,2.3733,1.86182,2.1783
18.1044,2.439,2.1224,2.243475,0,2.439,2.1224,2.243475
18.2297,2.3982,2.27442,2.27442,0,2.3982,2.27442,2.27442
18.3566,2.4906,2.38392,2.38392,0,2.4906,2.38392,2.38392
18.4828,2.4953,2.43928,2.43928,0,2.4953,2.43928,2.43928
18.6086,2.5688,2.47838,2.47838,0,2.5688,2.47838,2.47838
18.7345,2.6674,2.52406,2.52406,0,2.6674,2.52406,2.52406
18.8602,2.5848,2.56138,2.56138,0,2.5848,2.56138,2.56138
18.9866,2.6458,2.59242,2.59242,0,2.6458,2.59242,2.59242
19.1123,2.6411,2.62158,2.62158,0,2.6411,2.62158,2.62158
19.2382,2.6646,2.64074,2.64074,0,2.6646,2.64074,2.64074
19.3651,2.6721,2.64168,2.64168,0,2.6721,2.64168,2.64168
19.4907,2.6298,2.65068,2.65068,0,2.6298,2.65068,2.65068
19.617,2.6298,2.64748,2.64748,0,2.6298,2.64748,2.64748
19.7422,2.658,2.65086,2.65086,0,2.658,2.65086,2.65086
19.8687,2.6873,2.6554,2.6554,0,2.6873,2.6554,2.6554
19.9957,2.7397,2.66892,2.66892,0,2.7397,2.66892,2.66892
20.1215,2.7209,2.68714,2.68714,0,2.7209,2.68714,2.68714
20.2459,2.6834,2.69786,2.69786,0,2.6834,2.69786,2.69786
20.372,2.6693,2.70012,2.70012,0,2.6693,2.70012,2.70012
20.4982,2.6474,2.69214,2.69214,0,2.6474,2.69214,2.69214
20.6242,2.6693,2.67806,2.67806,0,2.6693,2.67806,2.67806
20.7498,2.674,2.66868,2.66868,0,2.674,2.66868,2.66868
20.8764,2.6685,2.6657,2.6657,0,2.6685,2.6657,2.6657
21.0028,2.6169,2.65522,2.65522,0,2.6169,2.65522,2.65522
21.1284,2.597,2.64514,2.64514,0,2.597,2.64514,2.64514
21.2542,2.5595,2.62318,2.62318,0,2.5595,2.62318,2.62318
21.3806,2.5798,2.60434,2.60434,0,2.5798,2.60434,2.60434
21.5067,2.5704,2.58472,2.58472,0,2.5704,2.58472,2.58472
21.632,2.6169,2.58472,2.58472,0,2.6169,2.58472,2.58472
21.7582,2.5782,2.58096,2.58096,0,2.5782,2.58096,2.58096
21.8848,2.5094,2.57094,2.57094,0,2.5094,2.57094,2.57094
22.0103,2.5454,2.56406,2.56406,0,2.5454,2.56406,2.56406
22.1403,2.3653,2.52304,2.52304,0,2.3653,2.52304,2.52304
22.2628,2.0416,2.40798,2.0416,1,2.0416,2.40798,2.0416
22.3904,1.7413,2.2406,1.7413,1,1.7413,2.2406,1.7413
22.514,1.3784,2.0144,1.3784,1,1.448965,2.0144,1.448965
22.6421,1.0643,1.71818,1.0643,1,1.236295,1.71818,1.236295
22.7682,0.7359,1.3923,0.7359,1,1.026595,1.458752,1.026595
22.8947,0.5642,1.09682,0.65005,0,0.919717,1.257651,0.973023
23.0218,0.3719,0.82294,0.557333,0,0.800614,1.081313,0.915461
23.1473,0.203,0.58786,0.46875,0,0.695414,0.934389,0.860605
23.2743,0.0622,0.38744,0.38744,0,0.606548,0.810248,0.810248
23.4009,0.0227,0.2448,0.2448,0,0.581341,0.721559,0.721559
23.5263,0.0587,0.1437,0.1437,0,0.60432,0.658154,0.658154
23.6525,0.0194,0.0732,0.0732,0,0.579229,0.613543,0.613543
23.7783,-0.0603,0.02054,0.02054,0,0.52789,0.579959,0.579959
23.9046,-0.0995,-0.0118,-0.0118,0,0.502391,0.559208,0.559208
24.0319,-0.0572,-0.02778,-0.02778,0,0.5299,0.548916,0.548916
24.1567,-0.1089,-0.0613,-0.0613,0,0.5,0.527242,0.527242
24.2818,-0.0995,-0.08508,-0.08508,0,0.502391,0.511792,0.511792
24.4084,-0.1605,-0.10512,-0.10512,0,0.5,0.5,0.5
24.5345,-0.1323,-0.11168,-0.11168,0,0.5,0.5,0.5
24.6603,-0.1135,-0.12294,-0.12294,0,0.5,0.5,0.5
24.7866,-0.137,-0.12856,-0.12856,0,0.5,0.5,0.5
24.9125,-0.1933,-0.14732,-0.14732,0,0.5,0.5,0.5
25.0388,-0.1276,-0.14074,-0.14074,0,0.5,0.5,0.5
25.1643,-0.1042,-0.13512,-0.13512,0,0.5,0.5,0.5
25.2907,-0.1511,-0.14264,-0.14264,0,0.5,0.5,0.5
25.4167,-0.1276,-0.14076,-0.14076,0,0.5,0.5,0.5
25.5421,-0.1511,-0.13232,-0.13232,0,0.5,0.5,0.5
25.6693,-0.1135,-0.1295,-0.1295,0,0.5,0.5,0.5
25.7944,-0.1276,-0.13418,-0.13418,0,0.5,0.5,0.5
25.9209,-0.1323,-0.13042,-0.13042,0,0.5,0.5,0.5
26.0473,-0.1558,-0.13606,-0.13606,0,0.5,0.5,0.5
26.172,-0.1323,-0.1323,-0.1323,0,0.5,0.5,0.5
26.2985,-0.1323,-0.13606,-0.13606,0,0.5,0.5,0.5
26.4243,-0.1417,-0.13888,-0.13888,0,0.5,0.5,0.5
26.5524,-0.1182,-0.13606,-0.13606,0,0.5,0.5,0.5
26.6765,-0.1229,-0.12948,-0.12948,0,0.5,0.5,0.5
