time_s,raw,ma_only,ma_spike,spike_flag,dA_raw,dA_ma_only,dA_ma_spike
6.2397,0.219800,0.219800,0.219800,0,0.705933,0.705933,0.705933
6.3624,0.419600,0.319700,0.319700,0,0.830174,0.768211,0.768211
6.4908,0.246400,0.295267,0.295267,0,0.722558,0.753016,0.753016
6.6191,0.282200,0.292000,0.292000,0,0.744881,0.750983,0.750983
6.7467,0.346900,0.302980,0.302980,0,0.785104,0.757815,0.757815
6.8739,0.255800,0.310180,0.310180,0,0.728425,0.762293,0.762293
7.0026,0.637400,0.353740,0.637400,1,0.965155,0.789349,0.965155
7.1289,0.701500,0.444760,0.669450,0,1.005088,0.845753,0.985101
7.2543,0.487200,0.485760,0.608700,0,0.872026,0.871135,0.947323
7.3805,0.434100,0.503200,0.565050,0,0.839153,0.881932,0.920244
7.5059,0.243300,0.500700,0.500700,0,0.720622,0.880384,0.880384
7.6341,0.074400,0.388100,0.388100,0,0.614306,0.810658,0.810658
7.7632,0.094500,0.266700,0.266700,0,0.627061,0.735223,0.735223
16.8142,0.075700,0.184400,0.184400,0,0.615132,0.683750,0.683750
16.9527,0.028800,0.103340,0.103340,0,0.585243,0.632661,0.632661
17.0810,0.075700,0.069820,0.069820,0,0.615132,0.611395,0.611395
17.2087,0.103900,0.075720,0.075720,0,0.633015,0.615144,0.615144
17.3365,0.022500,0.061320,0.061320,0,0.581213,0.605988,0.605988
17.4640,0.069400,0.060060,0.060060,0,0.611128,0.605186,0.605186
17.5936,0.083500,0.071000,0.071000,0,0.620085,0.612145,0.612145
17.7213,0.033500,0.062560,0.062560,0,0.588247,0.606777,0.606777
17.8480,0.099200,0.061620,0.061620,0,0.630039,0.606179,0.606179
17.9771,0.061700,0.069460,0.069460,0,0.606229,0.611166,0.611166
18.1048,0.052300,0.066040,0.066040,0,0.600243,0.608991,0.608991
18.2327,0.069400,0.063220,0.063220,0,0.611128,0.607197,0.607197
18.3602,0.092900,0.075100,0.075100,0,0.626047,0.614751,0.614751
18.4891,0.069400,0.069140,0.069140,0,0.611128,0.610962,0.610962
18.6163,0.060000,0.068800,0.068800,0,0.605147,0.610746,0.610746
18.7452,0.060000,0.070340,0.070340,0,0.605147,0.611725,0.611725
18.8720,0.055400,0.067540,0.067540,0,0.602218,0.609945,0.609945
19.0004,0.099200,0.068800,0.068800,0,0.630039,0.610746,0.610746
19.1282,0.061700,0.067260,0.067260,0,0.606229,0.609767,0.609767
19.2567,0.121000,0.079460,0.079460,0,0.643830,0.617520,0.617520
19.3846,0.268100,0.121080,0.121080,0,0.736096,0.643881,0.643881
19.5122,0.550100,0.220020,0.220020,0,0.910979,0.706071,0.706071
19.6412,0.815300,0.363240,0.363240,0,1.076490,0.795243,0.795243
19.7690,0.865700,0.524040,0.524040,0,1.108384,0.894836,0.894836
19.8967,0.925500,0.684940,0.684940,0,1.146493,0.994756,0.994756
20.0227,1.164200,0.864160,0.864160,0,1.302339,1.107406,1.107406
20.1492,1.404000,1.034940,1.034940,0,1.467018,1.217123,1.217123
20.2742,1.622600,1.196400,1.196400,0,1.626611,1.323917,1.323917
20.4026,1.802800,1.383820,1.383820,0,1.766529,1.452777,1.452777
20.5303,2.065000,1.611720,1.611720,0,1.986229,1.618420,1.618420
20.6580,2.215200,1.821920,1.821920,0,2.121939,1.781873,1.781873
20.7839,2.251100,1.991340,1.991340,0,2.155542,1.922404,1.922404
20.9086,2.375200,2.141860,2.141860,0,2.275373,2.054712,2.054712
21.0342,2.412200,2.263740,2.263740,0,2.312243,2.167484,2.167484
21.1609,2.360600,2.322860,2.322860,0,2.260971,2.224124,2.224124
