time_s,raw,ma_only,ma_spike,spike_flag,dA_raw,dA_ma_only,dA_ma_spike
1.7404,-0.066600,-0.066600,-0.066600,0,0.523804,0.523804,0.523804
1.8683,-0.085400,-0.076000,-0.076000,0,0.511583,0.517699,0.517699
1.9967,-0.015000,-0.055667,-0.055667,0,0.557149,0.530893,0.530893
2.1255,-0.085400,-0.063100,-0.063100,0,0.511583,0.526075,0.526075
2.2522,-0.057200,-0.061920,-0.061920,0,0.529900,0.526840,0.526840
2.3802,-0.061900,-0.060980,-0.060980,0,0.526853,0.527450,0.527450
2.5139,-0.076000,-0.059100,-0.059100,0,0.517699,0.528668,0.528668
2.6343,-0.113500,-0.078800,-0.078800,0,0.500000,0.515878,0.515878
2.7609,-0.038500,-0.069420,-0.069420,0,0.541998,0.521973,0.521973
2.8889,-0.010300,-0.060040,-0.060040,0,0.560172,0.528059,0.528059
3.0166,-0.118200,-0.071300,-0.071300,0,0.500000,0.520753,0.520753
3.1433,-0.108900,-0.077880,-0.077880,0,0.500000,0.516476,0.516476
3.2697,-0.000900,-0.055360,-0.055360,0,0.566213,0.531092,0.531092
3.3983,0.050700,-0.037520,-0.037520,0,0.599223,0.542631,0.542631
3.5285,-0.108900,-0.057240,-0.057240,0,0.500000,0.529874,0.529874
3.6545,0.017800,-0.030040,-0.030040,0,0.578204,0.547459,0.547459
3.7825,-0.047900,-0.017840,-0.017840,0,0.535921,0.555321,0.555321
3.9128,-0.033800,-0.024420,-0.024420,0,0.545032,0.551082,0.551082
4.0384,-0.066600,-0.047880,-0.047880,0,0.523804,0.535934,0.535934
4.1663,-0.071300,-0.040360,-0.040360,0,0.520753,0.540796,0.540796
4.2967,-0.019700,-0.047860,-0.047860,0,0.554123,0.535947,0.535947
4.4225,-0.024400,-0.043160,-0.043160,0,0.551095,0.538986,0.538986
4.5529,-0.033800,-0.043160,-0.043160,0,0.545032,0.538986,0.538986
4.6792,-0.052600,-0.040360,-0.040360,0,0.532879,0.540796,0.540796
4.8063,-0.071300,-0.040360,-0.040360,0,0.520753,0.540796,0.540796
4.9347,-0.043200,-0.045060,-0.045060,0,0.538960,0.537758,0.537758
5.0620,-0.061900,-0.052560,-0.052560,0,0.526853,0.532905,0.532905
5.1905,-0.080700,-0.061940,-0.061940,0,0.514642,0.526827,0.526827
5.3165,-0.094800,-0.070380,-0.070380,0,0.505458,0.521350,0.521350
5.4442,-0.024400,-0.061000,-0.061000,0,0.551095,0.527437,0.527437
5.5729,-0.047900,-0.061940,-0.061940,0,0.535921,0.526827,0.526827
5.7000,-0.005600,-0.050680,-0.050680,0,0.563194,0.534122,0.534122
5.8286,-0.066600,-0.047860,-0.047860,0,0.523804,0.535947,0.535947
5.9557,-0.066600,-0.042220,-0.042220,0,0.523804,0.539594,0.539594
6.0877,-0.057200,-0.048780,-0.048780,0,0.529900,0.535352,0.535352
6.2124,-0.033800,-0.045960,-0.045960,0,0.545032,0.537176,0.537176
6.3401,-0.033800,-0.051600,-0.051600,0,0.545032,0.533526,0.533526
6.4683,-0.052600,-0.048800,-0.048800,0,0.532879,0.535339,0.535339
6.5977,-0.052600,-0.046000,-0.046000,0,0.532879,0.537150,0.537150
6.7241,-0.029100,-0.040380,-0.040380,0,0.548065,0.540783,0.540783
6.8517,-0.043200,-0.042260,-0.042260,0,0.538960,0.539568,0.539568
6.9803,-0.004000,-0.036300,-0.036300,0,0.564222,0.543418,0.543418
7.1121,-0.005400,-0.026860,-0.026860,0,0.563322,0.549509,0.549509
7.2358,0.047600,-0.006820,-0.006820,0,0.597247,0.562410,0.562410
7.3645,0.019400,0.002880,0.002880,0,0.579229,0.568640,0.568640
7.4922,0.010600,0.013640,0.013640,0,0.573591,0.575540,0.575540
7.6223,0.135700,0.041580,0.041580,0,0.653110,0.593406,0.593406
7.7482,0.085700,0.059800,0.059800,0,0.621481,0.605020,0.605020
7.8772,0.126000,0.075480,0.075480,0,0.646988,0.614992,0.614992
8.0045,0.215100,0.114620,0.114620,0,0.702992,0.639798,0.639798
8.1321,0.164900,0.145480,0.145480,0,0.671500,0.659276,0.659276
8.2597,0.182300,0.154800,0.154800,0,0.682432,0.665145,0.665145
8.3881,0.205500,0.178760,0.178760,0,0.696981,0.680210,0.680210
8.5183,0.150800,0.183720,0.183720,0,0.662627,0.683324,0.683324
8.6442,0.258700,0.192440,0.192440,0,0.730234,0.688795,0.688795
8.7751,0.268100,0.213080,0.213080,0,0.736096,0.701727,0.701727
8.9003,0.304300,0.237480,0.237480,0,0.758636,0.716987,0.716987
9.0284,0.308900,0.258160,0.258160,0,0.761497,0.729897,0.729897
9.1572,0.351200,0.298240,0.298240,0,0.787773,0.754866,0.754866
9.2840,0.357800,0.318060,0.318060,0,0.791869,0.767192,0.767192
9.4125,0.332400,0.330920,0.330920,0,0.776101,0.775182,0.775182
9.5412,0.347900,0.339640,0.339640,0,0.785725,0.780597,0.780597
9.6673,0.402800,0.358420,0.358420,0,0.819767,0.792253,0.792253
9.7917,0.414100,0.371000,0.371000,0,0.826767,0.800056,0.800056
9.9204,0.448200,0.389080,0.389080,0,0.847883,0.811265,0.811265
10.0490,0.404700,0.403540,0.403540,0,0.820944,0.820225,0.820225
10.1754,0.440300,0.422020,0.422020,0,0.842992,0.831672,0.831672
10.3026,0.446400,0.430740,0.430740,0,0.846769,0.837072,0.837072
10.4304,0.479200,0.443760,0.443760,0,0.867074,0.845134,0.845134
10.5584,0.473200,0.448760,0.448760,0,0.863360,0.848230,0.848230
10.6863,0.479800,0.463780,0.463780,0,0.867445,0.857528,0.857528
10.8138,0.526700,0.481060,0.481060,0,0.896483,0.868225,0.868225
10.9399,0.607700,0.513320,0.513320,0,0.946702,0.888198,0.888198
11.0679,0.632300,0.543940,0.543940,0,0.961984,0.907162,0.907162
11.1941,0.604900,0.570280,0.570280,0,0.944964,0.923487,0.923487
11.3231,0.601800,0.594680,0.594680,0,0.943040,0.938621,0.938621
11.4503,0.662000,0.621740,0.621740,0,0.980461,0.955422,0.955422
11.5775,0.668700,0.633940,0.633940,0,0.984634,0.963004,0.963004
11.7058,0.670600,0.641600,0.641600,0,0.985818,0.967767,0.967767
11.8326,0.702700,0.661160,0.661160,0,1.005838,0.979938,0.979938
12.5254,0.744900,0.689780,0.689780,0,1.032231,0.997774,0.997774
12.6542,0.806700,0.718720,0.718720,0,1.071066,1.015847,1.015847
12.7794,0.722200,0.729420,0.729420,0,1.018022,1.022539,1.022539
12.9077,0.824700,0.760240,0.760240,0,1.082424,1.041849,1.041849
13.0353,0.791800,0.778060,0.778060,0,1.061681,1.053040,1.053040
13.1638,0.771900,0.783460,0.783460,0,1.049169,1.056434,1.056434
13.2917,0.804700,0.783060,0.783060,0,1.069806,1.056183,1.056183
13.4198,0.830100,0.804640,0.804640,0,1.085836,1.069768,1.069768
13.5474,0.804700,0.800640,0.800640,0,1.069806,1.067247,1.067247
13.6757,0.814100,0.805100,0.805100,0,1.075733,1.070058,1.070058
13.8037,0.828200,0.816360,0.816360,0,1.084635,1.077159,1.077159
13.9318,0.832900,0.822000,0.822000,0,1.087606,1.080719,1.080719
